列名,日本語,プログラム
FOP2Qnumber,営業利益_予想_第2四半期末, FOP2Q
FOdP2Qnumber,経常利益_予想_第2四半期末, FOdP2Q
FNP2Qnumber,当期純利益_予想_第2四半期末, FNP2Q
FEPS2Qnumber,一株あたり当期純利益_予想_第2四半期末, FEPS2Q
NxFSales2Qnumber,売上高_予想_翌事業年度第2四半期末, NxFSales2Q
NxFOP2Qnumber,営業利益_予想_翌事業年度第2四半期末, NxFOP2Q
NxFOdP2Qnumber,経常利益_予想_翌事業年度第2四半期末, NxFOdP2Q
NxFNp2Qnumber,当期純利益_予想_翌事業年度第2四半期末, NxFNp2Q
NxFEPS2Qnumber,一株あたり当期純利益_予想_翌事業年度第2四半期末, NxFEPS2Q
FSalesnumber,売上高_予想_期末, FSales
FOPnumber,営業利益_予想_期末, FOP
FOdPnumber,経常利益_予想_期末, FOdP
FNPnumber,当期純利益_予想_期末, FNP
FEPSnumber,一株あたり当期純利益_予想_期末, FEPS
NxFSalesnumber,売上高_予想_翌事業年度期末, NxFSales
NxFOPnumber,営業利益_予想_翌事業年度期末, NxFOP
NxFOdPnumber,経常利益_予想_翌事業年度期末, NxFOdP
NxFNpnumber,当期純利益_予想_翌事業年度期末, NxFNp
NxFEPSnumber,一株あたり当期純利益_予想_翌事業年度期末, NxFEPS
MatChgSubstring,期中における重要な子会社の異動, MatChgSub
SigChgInCstring,期中における連結範囲の重要な変更, SigChgInC
ChgByASRevstring,会計基準等の改正に伴う会計方針の変更, ChgByASRev
ChgNoASRevstring,会計基準等の改正に伴う変更以外の会計方針の変更, ChgNoASRev
ChgAcEststring,会計上の見積りの変更, ChgAcEst
RetroRststring,修正再表示, RetroRst
ShOutFYnumber,期末発行済株式数, ShOutFY
TrShFYnumber,期末自己株式数, TrShFY
AvgShnumber,期中平均株式数, AvgSh
NCSalesnumber,売上高_非連結, NCSales
NCOPnumber,営業利益_非連結, NCOP
NCOdPnumber,経常利益_非連結, NCOdP
NCNPnumber,当期純利益_非連結, NCNP
NCEPSnumber,一株あたり当期純利益_非連結, NCEPS
NCTAnumber,総資産_非連結, NCTA
NCEqnumber,純資産_非連結, NCEq
NCEqARnumber,自己資本比率_非連結, NCEqAR
NCBPSnumber,一株あたり純資産_非連結, NCBPS
FNCSales2Qnumber,売上高_予想_第2四半期末_非連結, FNCSales2Q
FNCOP2Qnumber,営業利益_予想_第2四半期末_非連結, FNCOP2Q
FNCOdP2Qnumber,経常利益_予想_第2四半期末_非連結, FNCOdP2Q
FNCNP2Qnumber,当期純利益_予想_第2四半期末_非連結, FNCNP2Q
FNCEPS2Qnumber,一株あたり当期純利益_予想_第2四半期末_非連結, FNCEPS2Q
NxFNCSales2Qnumber,売上高_予想_翌事業年度第2四半期末_非連結, NxFNCSales2Q
NxFNCOP2Qnumber,営業利益_予想_翌事業年度第2四半期末_非連結, NxFNCOP2Q
NxFNCOdP2Qnumber,経常利益_予想_翌事業年度第2四半期末_非連結, NxFNCOdP2Q
NxFNCNP2Qnumber,当期純利益_予想_翌事業年度第2四半期末_非連結, NxFNCNP2Q
NxFNCEPS2Qnumber,一株あたり当期純利益_予想_翌事業年度第2四半期末_非連結, NxFNCEPS2Q
FNCSalesnumber,売上高_予想_期末_非連結, FNCSales
FNCOPnumber,営業利益_予想_期末_非連結, FNCOP
FNCOdPnumber,経常利益_予想_期末_非連結, FNCOdP
FNCNPnumber,当期純利益_予想_期末_非連結, FNCNP
FNCEPSnumber,一株あたり当期純利益_予想_期末_非連結, FNCEPS
NxFNCSalesnumber,売上高_予想_翌事業年度期末_非連結, NxFNCSales
NxFNCOPnumber,営業利益_予想_翌事業年度期末_非連結, NxFNCOP
NxFNCOdPnumber,経常利益_予想_翌事業年度期末_非連結, NxFNCOdP
NxFNCNPnumber,当期純利益_予想_翌事業年度期末_非連結, NxFNCNP
NxFNCEPSnumber,一株あたり当期純利益_予想_翌事業年度期末_非連結, NxFNCEPS
,,
,,
●●financedata収集対象●●,,
,,
Codestring,銘柄コード（5桁）, Code
CurFYEnstring,当事業年度終了日, CurFYEn
DiscDatestring,開示日, DiscDate
NxtFYEnstring,翌事業年度終了日, NxtFYEn
Salesnumber,売上高, Sales
OPnumber,営業利益, OP
OdPnumber,経常利益, OdP
NPnumber,当期純利益, NP
EPSnumber,一株あたり当期純利益, EPS
DEPSnumber,潜在株式調整後一株あたり当期純利益, DEPS
TAnumber,総資産, TA
Eqnumber,純資産, Eq
EqARnumber,自己資本比率, EqAR
BPSnumber,一株あたり純資産, BPS
CFOnumber,営業活動によるキャッシュ・フロー, CFO
CFInumber,投資活動によるキャッシュ・フロー, CFI
CFFnumber,財務活動によるキャッシュ・フロー, CFF
CashEqnumber,現金及び現金同等物期末残高, CashEq
DivAnnnumber,一株あたり配当実績_合計, DivAnn
FDivAnnnumber,一株あたり配当予想_合計, FDivAnn
FPayoutRatioAnnnumber,予想配当性向, FPayoutRatioAnn
FSalesnumber,売上高_予想_期末, FSales
FOPnumber,営業利益_予想_期末, FOP
FOdPnumber,経常利益_予想_期末, FOdP
FNPnumber,当期純利益_予想_期末, FNP
FEPSnumber,一株あたり当期純利益_予想_期末, FEPS
NxFSalesnumber,売上高_予想_翌事業年度期末, NxFSales
NxFOPnumber,営業利益_予想_翌事業年度期末, NxFOP
NxFOdPnumber,経常利益_予想_翌事業年度期末, NxFOdP
NxFNpnumber,当期純利益_予想_翌事業年度期末, NxFNp
NxFEPSnumber,一株あたり当期純利益_予想_翌事業年度期末, NxFEPS
