列名,日本語,プログラム
Codestring,銘柄コード（5桁）, Code
CurFYEnstring,当事業年度終了日, CurFYEn
CurFYStstring,当事業年度開始日, CurFYSt
CurPerEnstring,当会計期間終了日, CurPerEn
CurPerStstring,当会計期間開始日, CurPerSt
CurPerTypestring,当会計期間の種類, CurPerType
DiscDatestring,開示日, DiscDate
DiscNostring,開示番号, DiscNo
DiscTimestring,開示時刻, DiscTime
DocTypestring,開示書類種別, DocType
NxtFYStstring,翌事業年度開始日, NxtFYSt
NxtFYEnstring,翌事業年度終了日, NxtFYEn
Salesnumber,売上高, Sales
OPnumber,営業利益, OP
OdPnumber,経常利益, OdP
NPnumber,当期純利益, NP
EPSnumber,一株あたり当期純利益, EPS
DEPSnumber,潜在株式調整後一株あたり当期純利益, DEPS
TAnumber,総資産, TA
Eqnumber,純資産, Eq
EqARnumber,自己資本比率, EqAR
BPSnumber,一株あたり純資産, BPS
CFOnumber,営業活動によるキャッシュ・フロー, CFO
CFInumber,投資活動によるキャッシュ・フロー, CFI
CFFnumber,財務活動によるキャッシュ・フロー, CFF
CashEqnumber,現金及び現金同等物期末残高, CashEq
Div1Qnumber,一株あたり配当実績_第1四半期末, Div1Q
Div2Qnumber,一株あたり配当実績_第2四半期末, Div2Q
Div3Qnumber,一株あたり配当実績_第3四半期末, Div3Q
DivFYnumber,一株あたり配当実績_期末, DivFY
DivAnnnumber,一株あたり配当実績_合計, DivAnn
DivUnitnumber,1口当たり分配金, DivUnit
DivTotalAnnnumber,配当金総額, DivTotalAnn
PayoutRatioAnnnumber,配当性向, PayoutRatioAnn
FDiv1Qnumber,一株あたり配当予想_第1四半期末, FDiv1Q
FDiv2Qnumber,一株あたり配当予想_第2四半期末, FDiv2Q
FDiv3Qnumber,一株あたり配当予想_第3四半期末, FDiv3Q
FDivFYnumber,一株あたり配当予想_期末, FDivFY
FDivAnnnumber,一株あたり配当予想_合計, FDivAnn
FDivUnitnumber,1口当たり予想分配金, FDivUnit
FDivTotalAnnnumber,予想配当金総額, FDivTotalAnn
FPayoutRatioAnnnumber,予想配当性向, FPayoutRatioAnn
NxFDiv1Qnumber,一株あたり配当予想_翌事業年度第1四半期末, NxFDiv1Q
NxFDiv2Qnumber,一株あたり配当予想_翌事業年度第2四半期末, NxFDiv2Q
NxFDiv3Qnumber,一株あたり配当予想_翌事業年度第3四半期末, NxFDiv3Q
NxFDivFYnumber,一株あたり配当予想_翌事業年度期末, NxFDivFY
NxFDivAnnnumber,一株あたり配当予想_翌事業年度合計, NxFDivAnn
NxFDivUnitnumber,1口当たり翌事業年度予想分配金, NxFDivUnit
NxFPayoutRatioAnnnumber,翌事業年度予想配当性向, NxFPayoutRatioAnn
FSales2Qnumber,売上高_予想_第2四半期末, FSales2Q
